#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
245,2021/02/09,2021020903018003,36,49,200,164.0,32800.0
247,2021/02/09,2021020903017902,36,42,40,164.0,6560.0
249,2021/02/09,2021020903017845,50,45,30,163.0,4890.0
251,2021/02/10,2021021003014421,58,39,15,162.0,2430.0
253,2021/02/10,2021021003011735,25,14,110,163.0,17930.0
255,2021/02/10,2021021003009937,58,42,10,162.0,1620.0
257,2021/02/10,2021021003009291,52,52,50,163.0,8150.0
259,2021/02/10,2021021003009287,58,52,835,163.0,136105.0
261,2021/02/10,2021021003007436,40,47,300,166.0,49800.0
263,2021/02/10,2021021003007173,10,26,100,166.0,16600.0
265,2021/02/10,2021021003006429,58,13,200,165.0,33000.0
267,2021/02/10,2021021003006232,11,35,50,164.0,8200.0
269,2021/02/10,2021021003000704,34,17,290,162.0,46980.0
271,2021/02/09,2021020903028624,34,16,38,163.0,6194.0
273,2021/02/09,2021020903028620,49,16,100,164.0,16400.0
275,2021/02/09,2021020903028526,48,19,10,164.0,1640.0
277,2021/02/09,2021020903027723,7,58,50,166.0,8300.0
279,2021/02/09,2021020903027231,16,17,50,165.0,8250.0
281,2021/02/09,2021020903026782,45,14,1000,165.0,165000.0
283,2021/02/09,2021020903026009,40,39,200,164.0,32800.0
285,2021/02/09,2021020903023023,14,41,100,163.0,16300.0
287,2021/02/09,2021020903021672,28,42,20,162.0,3240.0
289,2021/02/09,2021020903021283,21,41,50,163.0,8150.0
291,2021/02/09,2021020903019267,52,39,10,164.0,1640.0
293,2021/02/09,2021020903018305,49,14,60,165.0,9900.0
295,2021/02/09,2021020903017904,36,14,104,164.0,17056.0
297,2021/02/09,2021020903017900,36,25,250,164.0,41000.0
299,2021/02/09,2021020903017127,55,3,30,163.0,4890.0
201,2021/02/09,2021020903014594,17,19,27,162.0,4374.0
203,2021/02/09,2021020903010301,48,55,300,161.0,48300.0
205,2021/02/09,2021020903008921,36,35,480,162.0,77760.0
207,2021/02/09,2021020903007895,38,7,290,164.0,47560.0
209,2021/02/09,2021020903004914,42,55,10,165.0,1650.0
211,2021/02/09,2021020903002840,42,58,50,167.0,8350.0
213,2021/02/08,2021020803037072,1,16,40,162.0,6480.0
215,2021/02/08,2021020803036844,50,41,200,161.0,32200.0
217,2021/02/08,2021020803035623,32,41,100,162.0,16200.0
219,2021/02/08,2021020803034590,42,33,12,162.0,1944.0
221,2021/02/08,2021020803032570,38,41,10,164.0,1640.0
223,2021/02/08,2021020803032023,38,41,120,164.0,19680.0
225,2021/02/08,2021020803029392,57,57,76,163.0,12388.0
227,2021/02/08,2021020803029099,57,25,100,162.0,16200.0
229,2021/02/08,2021020803027432,17,34,500,162.0,81000.0
231,2021/02/08,2021020803025688,45,48,145,161.0,23345.0
233,2021/02/08,2021020803023843,20,48,115,161.0,18515.0
235,2021/02/08,2021020803023365,38,48,100,162.0,16200.0
237,2021/02/08,2021020803018881,28,50,1200,163.0,195600.0
239,2021/02/08,2021020803016526,21,17,30,162.0,4860.0
241,2021/02/08,2021020803009061,39,34,50,164.0,8200.0
243,2021/02/08,2021020803006903,20,59,50,166.0,8300.0
245,2021/02/08,2021020803005573,20,13,150,165.0,24750.0
247,2021/02/07,2021020703032857,49,7,400,163.0,65200.0
249,2021/02/07,2021020703032499,33,45,40,165.0,6600.0
251,2021/02/09,2021020903015414,57,17,10,163.0,1630.0
253,2021/02/09,2021020903011998,53,25,45,164.0,7380.0
255,2021/02/09,2021020903008923,42,35,10,162.0,1620.0
257,2021/02/09,2021020903007897,38,57,91,165.0,15015.0
259,2021/02/09,2021020903005798,28,7,10,163.0,1630.0
261,2021/02/09,2021020903002901,45,58,50,165.0,8250.0
263,2021/02/09,2021020903001732,41,45,10,168.0,1680.0
265,2021/02/08,2021020803036855,1,22,95,162.0,15390.0
267,2021/02/08,2021020803036842,45,41,28,161.0,4508.0
269,2021/02/08,2021020803035034,35,33,18,161.0,2898.0
271,2021/02/08,2021020803033117,50,57,230,162.0,37260.0
273,2021/02/08,2021020803032222,38,25,200,165.0,33000.0
275,2021/02/08,2021020803029552,45,19,27,161.0,4347.0
